epoch,num_episodes,total_reward,reward_per_epoch,best_reward,mean_q
1,1,3,3.0,3,0
2,1,2,2.0,2,0
3,1,3,3.0,3,0
4,1,1,1.0,1,0
5,1,2,2.0,2,0
6,1,1,1.0,1,0
7,1,1,1.0,1,0
8,1,3,3.0,3,0
9,1,2,2.0,2,0
10,1,0,0.0,0,0
11,1,2,2.0,2,0
12,1,0,0.0,0,0
13,1,4,4.0,4,0
14,1,2,2.0,2,0
15,1,1,1.0,1,0
16,1,2,2.0,2,0
17,1,3,3.0,3,0
18,1,3,3.0,3,0
19,1,1,1.0,1,0
20,1,0,0.0,0,0
21,1,1,1.0,1,0
22,1,2,2.0,2,0
23,1,1,1.0,1,0
24,1,3,3.0,3,0
25,1,3,3.0,3,0
26,1,1,1.0,1,0
27,1,2,2.0,2,0
28,1,2,2.0,2,0
29,1,2,2.0,2,0
30,1,2,2.0,2,0
31,1,2,2.0,2,0
32,1,4,4.0,4,0
33,1,1,1.0,1,0
34,1,2,2.0,2,0
35,1,2,2.0,2,0
36,1,0,0.0,0,0
37,1,5,5.0,5,0
38,1,2,2.0,2,0
39,1,2,2.0,2,0
40,1,2,2.0,2,0
41,1,1,1.0,1,0
42,1,2,2.0,2,0
43,1,1,1.0,1,0
44,1,1,1.0,1,0
45,1,3,3.0,3,0
46,1,0,0.0,0,0
47,1,3,3.0,3,0
48,1,1,1.0,1,0
49,1,2,2.0,2,0
50,1,0,0.0,0,0
51,1,2,2.0,2,0
52,1,2,2.0,2,0
53,1,0,0.0,0,0
54,1,4,4.0,4,0
55,1,3,3.0,3,0
56,1,3,3.0,3,0
57,1,4,4.0,4,0
58,1,3,3.0,3,0
59,1,1,1.0,1,0
60,1,3,3.0,3,0
61,1,3,3.0,3,0
62,1,4,4.0,4,0
63,1,5,5.0,5,0
64,1,1,1.0,1,0
65,1,3,3.0,3,0
66,1,1,1.0,1,0
67,1,2,2.0,2,0
68,1,1,1.0,1,0
69,1,1,1.0,1,0
70,1,4,4.0,4,0
71,1,4,4.0,4,0
72,1,1,1.0,1,0
73,1,2,2.0,2,0
74,1,2,2.0,2,0
75,1,2,2.0,2,0
76,1,2,2.0,2,0
77,1,3,3.0,3,0
78,1,2,2.0,2,0
79,1,1,1.0,1,0
80,1,2,2.0,2,0
81,1,1,1.0,1,0
82,1,2,2.0,2,0
83,1,1,1.0,1,0
84,1,4,4.0,4,0
85,1,1,1.0,1,0
86,1,2,2.0,2,0
87,1,2,2.0,2,0
88,1,5,5.0,5,0
89,1,2,2.0,2,0
90,1,2,2.0,2,0
91,1,0,0.0,0,0
92,1,3,3.0,3,0
93,1,1,1.0,1,0
94,1,2,2.0,2,0
95,1,1,1.0,1,0
96,1,3,3.0,3,0
97,1,2,2.0,2,0
98,1,2,2.0,2,0
99,1,2,2.0,2,0
100,1,3,3.0,3,0
